dataset,margin_type,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
hnir52,direct_age_by_region,35+,COLON,0.3665649270792645,0.03571560834094633,0.001275604679163875,0.2965636210450714,0.43656623311345766,0.0974332395232764,186,127.78244599999988
hnir52,direct_age_by_region,25-34,COMAYAGUA,0.3109215407082383,0.034909082138350686,0.001218644015742115,0.24250099698372046,0.37934208443275613,0.11227617764543556,249,239.39590300000012
hnir52,direct_age_by_region,20-24,COMAYAGUA,0.39170776975816957,0.03497233125975707,0.0012230639537421817,0.32316326003364143,0.4602522794826977,0.08928168895232307,159,154.70511099999987
hnir52,direct_age_by_region,<19,COMAYAGUA,0.33574692735963757,0.07795757317643456,0.00607738321555915,0.1829528916116801,0.48854096310759504,0.23219147168227033,44,41.63983899999999
hnir52,direct_age_by_region,35+,COMAYAGUA,0.3026128342947496,0.029906845199489614,8.94419389786235e-4,0.24399649481253538,0.36122917377696384,0.09882874025878188,235,217.10331999999997
hnir52,direct_age_by_region,25-34,COPAN,0.375024438276895,0.034790391684003885,0.0012103713535264067,0.3068365235682056,0.4432123529855844,0.09276833222883676,242,178.01991599999994
hnir52,direct_age_by_region,20-24,COPAN,0.3787299687118959,0.0334165459492347,0.0011166655431773139,0.3132347421636681,0.4442251952601237,0.0882331706225631,166,118.71540599999999
hnir52,direct_age_by_region,<19,COPAN,0.49656064998486876,0.07364148416952708,0.005423068190690708,0.3522259932445192,0.6408953067252183,0.14830310088359014,48,33.757832
hnir52,direct_age_by_region,35+,COPAN,0.41698156698421146,0.04659823456912795,0.002171395464959471,0.3256507054855714,0.5083124284828515,0.1117513057139342,210,151.65619299999992
hnir52,direct_age_by_region,25-34,CORTES,0.21528067670738796,0.016488719261786567,2.7187786289401136e-4,0.18296338080309443,0.24759797261168148,0.07659172905796013,543,1054.1726199999991
hnir52,direct_age_by_region,20-24,CORTES,0.293866799672082,0.03246770509988153,0.0010541518744528733,0.23023126701564678,0.35750233232851725,0.11048442742123767,249,479.2025439999998
hnir52,direct_age_by_region,<19,CORTES,0.3982304608643779,0.06310722288178805,0.003982521579851673,0.2745425768517314,0.5219183448770245,0.1584691003917954,56,102.07313099999996
hnir52,direct_age_by_region,35+,CORTES,0.2574335283944377,0.020991044479186188,4.4062394832717293e-4,0.21629183721735448,0.298575219571521,0.0815396681625086,373,687.0016469999999
hnir52,direct_age_by_region,25-34,EL PARAISO,0.2308838919220324,0.03119581132379073,9.7317864414955e-4,0.1697412252588958,0.292026558585169,0.13511471529735516,229,220.41802299999983
hnir52,direct_age_by_region,20-24,EL PARAISO,0.26021038899905957,0.03765943007808233,0.0014182326738059723,0.18639926236771379,0.3340215156304054,0.14472685054176848,131,129.42188099999998
